time,speed
201909072330,37.877
201909072340,38.68
201909072350,38.027
201909080000,41.686
201909080010,41.711
201909080020,37.524
201909080030,39.913
201909080040,38.599
201909080050,41.657
201909080100,40.7
201909080110,41.32
201909080120,40.235
201909080130,39.891
201909080140,38.985
201909080150,40.562
201909080200,40.59
201909080210,40.874
201909080220,40.037
201909080230,39.164
201909080240,41.37
201909080250,40.846
201909080300,40.367
201909080310,35.658
201909080320,41.177
201909080330,40.661
201909080340,40.461
201909080350,41.288
201909080400,40.905
201909080410,39.897
201909080420,40.496
201909080430,41.751
201909080440,40.422
201909080450,35.662
201909080500,37.245
201909080510,41.011
201909080520,41.711
201909080530,40.58
201909080540,41.13
201909080550,40.248
201909080600,39.992
201909080610,37.731
201909080620,40.383
201909080630,37.824
201909080640,41.314
201909080650,40.765
201909080700,41.018
201909080710,38.444
201909080720,41.036
201909080730,39.604
201909080740,40.548
201909080750,41.057
201909080800,40.916
201909080810,39.475
201909080820,38.222
201909080830,37.206
201909080840,37.709
201909080850,37.826
201909080900,39.008
201909080910,36.355
201909080920,36.89
201909080930,38.595
201909080940,36.912
201909080950,36.182
201909081000,35.126
201909081010,36.809
201909081020,34.387
201909081030,34.834
201909081040,35.564
201909081050,37.306
201909081100,36.327
201909081110,37.029
201909081120,35.159
201909081130,37.235
201909081140,35.704
201909081150,36.258
201909081200,36.612
201909081210,37.715
201909081220,36.431
201909081230,36.233
201909081240,37.006
201909081250,37.378
201909081300,40.247
201909081310,37.196
201909081320,37.051
201909081330,36.317
201909081340,36.973
201909081350,37.044
201909081400,38.384
201909081410,38.001
201909081420,37.782
201909081430,36.128
201909081440,38.274
201909081450,35.956
201909081500,37.427
201909081510,35.93
201909081520,34.561
201909081530,36.983
201909081540,37.183
201909081550,36.684
201909081600,36.36
201909081610,35.477
201909081620,35.255
201909081630,34.133
201909081640,34.362
201909081650,16.127
201909081700,34.25
201909081710,31.887
201909081720,27.519
201909081730,30.118
201909081740,35.251
201909081750,32.925
201909081800,33.871
